"","name","beschaeftigte_jahr","beschaeftigte","umsatz","adressecheck","beschreibung","adressegesamt","adresse","plz","land","ansprechperson","tel","email","website","seite","sparten","adressegesamtat","long","lat","geocodedadress"
"52","Hitzinger GmbH","2017","269","2016/17: 51,15 Mio. EUR","Helmholtzstraße 56
4020 Linz, Oberösterreich",NA,"Helmholtzstraße 56, 4021 Linz","Helmholtzstraße 56","4021 Linz","Austria | Österreich",NA,"T +43 / 732 / 381 681 – 0","E office@hitzinger.at","W www.hitzinger.at",66,"ENGINEERING EQUIPMENT,","Helmholtzstraße 56, 4021 Linz , Österreich",14.2773393,48.2569582,"helmholtzstraße 56, 4020 linz, austria"
"53","HPI High Pressure Instrumentation","2016","12",NA,"Überfuhrgasse 37
8020 Graz, Steiermark",NA,"Ueberfuhrgasse 37, 8010 Graz","Ueberfuhrgasse 37","8010 Graz","Austria | Österreich","Christian Holzer (Sales & Marketing)","T +43 / 316 / 680 470 0","E info@hpi-gmbh.com","W www.hpi-gmbh.com",67,"Waffen & Munition, ENGINEERING EQUIPMENT, TEST EQUIPMENT, ENGINEERING SERVICES & TRAINING, OTHERS","Ueberfuhrgasse 37, 8010 Graz , Österreich",15.4191019,47.0905388,"überfuhrgasse 37, 8020 graz, austria"
"54","IKARUS Security Software GmbH","2016","38",NA,"Blechturmgasse 11
1050 Wien",NA,"Blechturmgasse 11, 1050 Wien","Blechturmgasse 11","1050 Wien","Austria | Österreich",NA,"T +43 / 1 / 589 95 - 0","E office@ikarus.at","W www.IKARUSsecurity.com",68,"ICT & CYBER","Blechturmgasse 11, 1050 Wien , Österreich",16.3669166,48.1855785,"blechturmgasse 11, 1050 wien, austria"
"55","INDUCE GmbH","2017","3",NA,"Am Heumarkt 11/2
1030 Wien",NA,"Am Heumarkt 11, 1030 Wien","Am Heumarkt 11","1030 Wien","Austria | Österreich","Carl Julius Wagner","T +43 / 1 / 710 41 15","E office@induce.eu",NA,69,"OTHERS","Am Heumarkt 11, 1030 Wien , Österreich",16.3807372,48.2020332,"am heumarkt 11, 1030 wien, austria"
"56","IN-VISION Digital Imaging Optics GmbH","2017","80",NA,"Gewerbepark, Industriestraße 9/6
2353 Guntramsdorf, Niederösterreich",NA,"Industriestrasse 9, 2353 Guntramsdorf / Wien","Industriestrasse 9","2353 Guntramsdorf / Wien","Austria | Österreich","Dieter Luetze","T +43 / 664 / 357 75 13","E luetze@in-vision.at","W www.in-vision.at",70,"OPTICAL EQUIPMENT & OPTO-ELECTRONICS,","Industriestrasse 9, 2353 Guntramsdorf / Wien , Österreich",16.3194251,48.0689585,"industriestraße 9, 2353 guntramsdorf, austria"
"57","J. Blaschke Wehrtechnik GmbH","2016","4",NA,"Wienerbergstraße 42-44
1120 Wien",NA,"Wienerbergstrasse 42-44, 1120 Wien","Wienerbergstrasse 42-44","1120 Wien","Austria | Österreich","Volker Haager","T +43 / 1 / 810 09 09","E office@blaschke.com","W www.blaschke.com",71,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT, TEST EQUIPMENT, LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT, DEMILITARISATION & DEMINING,","Wienerbergstrasse 42-44, 1120 Wien , Österreich",16.3286644,48.1721565,"wienerbergstraße 42-44, 1120 wien, austria"
"58","JOANNEUM RESEARCH - DIGITAL","#N/A","n.v.","#N/A","#N/A",NA,"Leonhardstraße 59, 8010 Graz","Leonhardstraße 59","8010 Graz","Austria | Österreich","Maria Fellner","T +43 / 316 / 876 1637","E sales.digital@joanneum.at","W www.joanneum.at/digital",72,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT, COMMUNICATION EQUIPMENT, ENGINEERING EQUIPMENT, ENGINEERING SERVICES & TRAINING, ICT & CYBER, OTHERS","Leonhardstraße 59, 8010 Graz , Österreich",15.4549304,47.0739965,"leonhardstraße 59, 8010 graz, austria"
"59","Kahles Gesellschaft m.b.H.","2018","60",NA,"Danfoss-Straße 5
2353 Guntramsdorf, Niederösterreich",NA,"Danfoss-Straße 5, 2353 Guntramsdorf","Danfoss-Straße 5","2353 Guntramsdorf","Austria | Österreich",NA,"T +43 / 2236 / 520 20 - 0","E info@kahles.at","W www.kahles.at",73,"OPTICAL EQUIPMENT & OPTO-ELECTRONICS,","Danfoss-Straße 5, 2353 Guntramsdorf , Österreich",16.3077014,48.0554166,"danfoss-straße, 2353 guntramsdorf, austria"
"60","Kapsch BusinessCom AG","2017","984","2016/17: 279,99 Mio. EUR","Wienerbergstraße 53
1120 Wien",NA,"Wienerbergstraße 53, 1120 Wien","Wienerbergstraße 53","1120 Wien","Austria | Österreich",NA,"T +43 / 50 / 811 0","E kbc.office@kapsch.net","W www.kapsch.net",74,"COMMUNICATION EQUIPMENT, ICT & CYBER,","Wienerbergstraße 53, 1120 Wien , Österreich",16.3312523,48.1714531,"wienerbergstraße 53, 1120 wien, austria"
"61","KIVU Technologies GmbH",NA,"n.v.",NA,"Mariahilfer Straße 133
1150 Wien",NA,"Mariahilferstrasse 133, 1150 Wien","Mariahilferstrasse 133","1150 Wien","Austria | Österreich","Robert Wesley","T +43 / 699 / 171 901 11","E wesley@kivu.tech","W www.kivu.tech",75,"ICT & CYBER","Mariahilferstrasse 133, 1150 Wien , Österreich",16.3379443,48.1951133,"mariahilfer str. 133, 1150 wien, austria"
"62","Kohlbrat & Bunz GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Loretostraße 6-8, 5550 Radstadt","Loretostraße 6-8","5550 Radstadt","Austria | Österreich","Haakan Rugfelt","T +43 / 6452 / 71 93 - 0","E office@kohlbrat-bunz.com","W www.kohlbrat-bunz.com",76,"LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT,","Loretostraße 6-8, 5550 Radstadt , Österreich",13.4607391,47.3867519,"loretostraße 6, 5550 radstadt, austria"
"63","KTS GmbH","2016","16",NA,"Jenschke-Straße 1
2542 Kottingbrunn, Niederösterreich",NA,"Jenschke Strasse 1, 2542 Kottingbrunn","Jenschke Strasse 1","2542 Kottingbrunn","Austria | Österreich",NA,"T +43 / 2252 / 700 318","E office@kts-cable.com","W www.kts-cable.com",77,"ENGINEERING EQUIPMENT, ENGINEERING SERVICES & TRAINING, OTHERS","Jenschke Strasse 1, 2542 Kottingbrunn , Österreich",16.2536319,47.959606,"jenschkestraße 1, 2542 kottingbrunn, austria"
"64","Lenzing AG","#N/A","n.v.","#N/A","#N/A",NA,"Werkstraße 2, 4860 Lenzing","Werkstraße 2","4860 Lenzing","Austria | Österreich","Oliver Spöcker","T +43 / 7672 / 701 35 05","E o.spoecker@lenzing.com","W www.lenzing.com",78,"PERSONAL EQUIPMENT, OTHERS","Werkstraße 2, 4860 Lenzing , Österreich",13.6153359,47.9753394,"werkstraße 2, 4860 lenzing, austria"
"65","LieberLieber Software","2016","19",NA,"Handelskai 340 Top 5
1020 Wien",NA,"Handelskai 340, 1020 Wien","Handelskai 340","1020 Wien","Austria | Österreich","Konrad Wieland","T +43 / 662 / 906 00 – 20 17","E konrad.wieland@lieberlieber.com","W www.lieberlieber.com",79,"ENGINEERING SERVICES & TRAINING, ICT & CYBER,","Handelskai 340, 1020 Wien , Österreich",16.4276043,48.2089014,"handelskai 340, 1020 wien, austria"
"66","Lobmeyr Public Image ","#N/A","n.v.","#N/A","#N/A",NA,"Am Hof 11, Top 4, 1010 Wien","Am Hof 11, Top 4","1010 Wien","Austria | Österreich","Rudolph Lobmeyr","T +43 / 1 / 361 55 00","E r.lobmeyr@l-pi.eu","W www.l-pi.eu",80,"OTHERS","Am Hof 11, Top 4, 1010 Wien , Österreich",16.3685457,48.2117317,"am hof 11/top 4, 1010 wien, austria"
"67","LPV gmbh","2015","1",NA,"Industriestraße I Nr. 4
2620 Neunkirchen, Niederösterreich",NA,"Industriestr. I 4, 2620 Neunkirchen","Industriestr. I 4","2620 Neunkirchen","Austria | Österreich",NA,"T +43 / 660 / 711 77 77","E uplink@satellite-telecom.net | operations@9kballistics.at","W satellite-telecom.net | 9kballistics.at",81,"COMMUNICATION EQUIPMENT, OTHERS","Industriestr. I 4, 2620 Neunkirchen , Österreich",16.0805686,47.7208167,"hauptpl. 4, 2620 neunkirchen, austria"
"68","Maschinenfabrik Liezen und Gießerei Ges.m.b.H.","2016","699","2016: 97,25 Mio. EUR","Werkstraße 5
8940 Liezen, Steiermark",NA,"Werkstraße 5, 8940 Liezen","Werkstraße 5","8940 Liezen","Austria | Österreich",NA,"T +43 / 3612 / 270 - 0","E office@mfl.at","W www.mfl.at",82,"VEHICLES & ACCESSORIES,","Werkstraße 5, 8940 Liezen , Österreich",14.2481623,47.5637658,"werkstraße 5, 8940 liezen, austria"
"69","Meritor GmbH","2017","17",NA,"Werkstraße 13
4451 St. Ulrich bei Steyr, Oberösterreich",NA,"Werkstraße 13, 4451 St. Ulrich / Steyr","Werkstraße 13","4451 St. Ulrich / Steyr","Austria | Österreich","Thomas Lang","T +43 / 7252 / 735 62 - 0","E office@meritor.at","W www.meritor.at",83,"VEHICLES & ACCESSORIES,","Werkstraße 13, 4451 St. Ulrich / Steyr , Österreich",14.4116148,48.0137167,"werkstraße 13, 4451 unterwald, austria"
"70","Nimbusec GmbH","2016","5",NA,"Fadingerstraße 15
4020 Linz, Oberösterreich",NA,"Fadingerstraße 15, 4020 Linz","Fadingerstraße 15","4020 Linz","Austria | Österreich","Alexander Mitter","T +43 / 699 / 144 155 11","E a.mitter@nimbusec.com","W https://nimbusec.com",84,"ICT & CYBER","Fadingerstraße 15, 4020 Linz , Österreich",14.2942769,48.3025508,"fadingerstraße 15, 4020 linz, austria"
"71","NM Robotic GmbH","2016","3",NA,"Marienhöhe 25
4391 Waldhausen im Strudengau, Oberösterreich",NA,"Marienhöhe 25, 4391 Waldhausen im Strudengau ","Marienhöhe 25","4391 Waldhausen im Strudengau ","Austria | Österreich","Michael Naderhirn","T +43 / 676 / 976 04 83","E m.naderhirn@nmrobotic.com","W www.nmrobotic.com",85,"ENGINEERING EQUIPMENT, TEST EQUIPMENT, ENGINEERING SERVICES & TRAINING, ICT & CYBER,","Marienhöhe 25, 4391 Waldhausen im Strudengau  , Österreich",14.9440947,48.2760895,"marienhöhe 25, 4391 waldhausen im strudengau, austria"
"72","Oberaigner Powertrain GmbH","2017","82",NA,"Daimlerstraße 1
4155 Nebelberg, Oberösterreich",NA,"Daimlerstrasse 1, 4155 Nebelberg","Daimlerstrasse 1","4155 Nebelberg","Austria | Österreich",NA,"T +43 / 7287 / 201 - 0","E sales@oberaigner.com","W www.oberaigner.com",86,"VEHICLES & ACCESSORIES,","Daimlerstrasse 1, 4155 Nebelberg , Österreich",13.8394656,48.6220168,"daimlerstraße 1, 4154 nebelberg, austria"
"73","Ognios GmbH","2016","15",NA,"Dr.Hans Lechner Straße 6
5071 Wals bei Salzburg, Salzburg",NA,"Dr.-Hans-Lechner-Straße 6, 5071 Wals-Siezenheim","Dr.-Hans-Lechner-Straße 6","5071 Wals-Siezenheim","Austria | Österreich",NA,"T +43 / 662 / 254 861","E office@ognios.com","W www.ognios.com",87,"COMMUNICATION EQUIPMENT,","Dr.-Hans-Lechner-Straße 6, 5071 Wals-Siezenheim , Österreich",12.9914099,47.8110155,"dr.-hans-lechner-straße 6, 5071 siezenheim, austria"
"74","Österreichische Staatsdruckerei GmbH - OeSD","#N/A","n.v.","#N/A","#N/A",NA,"Tenschertstraße 7, 1239 Wien","Tenschertstraße 7","1239 Wien","Austria | Österreich",NA,"T +43 / 1 / 206 66 - 0","E office@staatsdruckerei.at","W www.staatsdruckerei.at",88,"OTHERS","Tenschertstraße 7, 1239 Wien , Österreich",16.3543895,48.1396642,"tenschertstraße 7, 1230 wien, austria"
"75","PALFINGER EMEA GmbH Defence Solutions","#N/A","n.v.","#N/A","#N/A",NA,"Kapellenstraße 18, 5211 Friedburg/Lengau","Kapellenstraße 18","5211 Friedburg/Lengau","Austria | Österreich","Franz Thaller | Josef Fenninger | Robert Stengel","T +43 / 7746 / 22 81 - 0","E govsales@palfinger.com","W www.palfinger.com",89,"VEHICLES & ACCESSORIES, LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT, ENGINEERING SERVICES & TRAINING,","Kapellenstraße 18, 5211 Friedburg/Lengau , Österreich",13.2236018,48.0085938,"kapellenstraße 18, 5211 lengau, austria"
"76","Pankl Aerospace Systems Europe GmbH","2016","66",NA,"Industriestrasse West 4
8605 Kapfenberg, Steiermark",NA,"Industriestrasse West 4, 8605 Kapfenberg","Industriestrasse West 4","8605 Kapfenberg","Austria | Österreich",NA,"T +43 / 3862 / 339 99","E aerospace@pankl.com","W www.pankl.com",90,"ENGINEERING SERVICES & TRAINING, OTHERS","Industriestrasse West 4, 8605 Kapfenberg , Österreich",15.3409492,47.4570557,"industriestraße west 4, 8605 pötschach, austria"
"77","pewag austria GmbH","2016 (Gru","n.v.","2016 (Gruppe): 129,05 Mio. EUR","Gaslaternenweg 4
8041 Graz, Steiermark",NA,"Gaslaternenweg 4, 8041 Graz","Gaslaternenweg 4","8041 Graz","Austria | Österreich",NA,"T +43 / 50 5011 - 0","E saleinfo@pewag.com","W www.pewag.com",91,"VEHICLES & ACCESSORIES,","Gaslaternenweg 4, 8041 Graz , Österreich",15.4618651,47.0465866,"gaslaternenweg 4, 8010 graz, austria"
"78","Photonic Optische Geräte GesmbH & Co. KG","#N/A","n.v.","#N/A","#N/A",NA,"Seeböckgasse 59, 1160 Wien","Seeböckgasse 59","1160 Wien","Austria | Österreich","Birgit Trautsamwieser","T +43 / 1 / 486 56 91 – 36","E trautsamwieser@photonic.at","W www.photonic.at",92,"OPTICAL EQUIPMENT & OPTO-ELECTRONICS,","Seeböckgasse 59, 1160 Wien , Österreich",16.310008,48.2186027,"seeböckgasse 59, 1160 wien, austria"
"79","ProOrienteConsultationes KG",NA,"n.v.",NA,"Hauptstraße 24
3482 Stettenhof, Niederösterreich",NA,"Hauptstraße 24, 3482 Stettenhof","Hauptstraße 24","3482 Stettenhof","Austria | Österreich","Berndt Wesiak","T +43 / 676 / 409 00 65","E berndt.wesiak@pro-oriente.co.at","W www.pro-oriente.co.at",93,"OTHERS","Hauptstraße 24, 3482 Stettenhof , Österreich",15.8056678,48.484884,"hauptstraße 24, 3482, austria"
"80","RadarServices Smart IT-Security GmbH","2017","88",NA,"Zieglergasse 6, Stiege 3
1070 Wien",NA,"Zieglergasse 6, 1070 Wien","Zieglergasse 6","1070 Wien","Austria | Österreich","Isabell Claus","T +43 / 1 / 929 12 71 - 0","E sales@radarservices.com","W www.radarservices.com",94,"ICT & CYBER","Zieglergasse 6, 1070 Wien , Österreich",16.3457708,48.197941,"zieglergasse 6, 1070 wien, austria"
"81","Raetia Technologies GmbH","2016","0",NA,"Ladestraße 8
6370 Kitzbühel, Tirol",NA,"Ladestrasse 8, 6370 Kitzbühel","Ladestrasse 8","6370 Kitzbühel","Austria | Österreich","Nikolaus Kramheller","T +43 / 676 / 397 02 21","E nk@raetia-tec.at","W www.raetia-tec.at",95,"ICT & CYBER, OTHERS","Ladestrasse 8, 6370 Kitzbühel , Österreich",12.3925407,47.4492375,"6370 kitzbuhel, austria"
"82","Raytech VertriebsgmbH","#N/A","n.v.","#N/A","#N/A",NA,"Johann Steinböck-Straße 12, 2345 Brunn am Gebirge","Johann Steinböck-Straße 12","2345 Brunn am Gebirge","Austria | Österreich",NA,"T +43 / 2236 / 90 300","E sales@raytech-group.com","W raytech-group.com",96,"VEHICLES & ACCESSORIES, COMMUNICATION EQUIPMENT, ENGINEERING EQUIPMENT, ENGINEERING SERVICES & TRAINING, OTHERS","Johann Steinböck-Straße 12, 2345 Brunn am Gebirge , Österreich",16.308713,48.1078929,"johann steinböck-straße 12, 2345 brunn am gebirge, austria"
"83","REPUCO Unternehmensberatung GmbH","2017","4",NA,"Frankenberggasse 9/5
1040 Wien",NA,"Frankenberggasse 9/5, 1040 Wien","Frankenberggasse 9/5","1040 Wien","Austria | Österreich","Wolfgang Gattringer","T +43 / 1 / 886 56 29","E office@repuco.at","W www.repuco.at",97,"ICT & CYBER, OTHERS","Frankenberggasse 9/5, 1040 Wien , Österreich",16.3685488,48.1973111,"frankenberggasse 9/5, 1040 wien, austria"
"84","RESCO Consulting GmbH","2015","3",NA,"Hauptstraße 151
8141 Unterpremstätten, Steiermark",NA,"Hauptstraße 151, 8141 Premstätten","Hauptstraße 151","8141 Premstätten","Austria | Österreich",NA,"T +43 / 3136 / 529 89","E office@resco.cc","W www.resco.cc",98,"PERSONAL EQUIPMENT, TEST EQUIPMENT, OTHERS","Hauptstraße 151, 8141 Premstätten , Österreich",15.4037872,46.9708389,"hauptstraße 151, 8141 unterpremstätten, austria"
"85","RESSENIG Fahrzeugbau GmbH","2016","132","2013/14: 17,47 Mio. EUR","St. Martiner Straße 124
9500 Villach, Kärnten",NA,"St. Martinerstraße 124, 9500 Villach","St. Martinerstraße 124","9500 Villach","Austria | Österreich",NA,"T +43 / 4242 / 50 10 – 0","E office@ressenig.at","W www.ressenig.at",99,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT,","St. Martinerstraße 124, 9500 Villach , Österreich",13.8219158,46.6252143,"st. martiner str. 124, 9500 villach, austria"
"86","Rheinmetall MAN Military Vehicles Österreich GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Brunner-Str. 44-50, 1230 Wien","Brunner-Str. 44-50","1230 Wien","Austria | Österreich",NA,"T +43 / 1 / 866 20 – 0 ","E militarytrucks@rheinmetall.com","W www.rheinmetall-defence.com",100,"VEHICLES & ACCESSORIES,","Brunner-Str. 44-50, 1230 Wien , Österreich",16.2836006,48.0978691,"brunner str. 44, 2344 maria enzersdorf, austria"
"87","Rheinmetall Waffe Munition ARGES GmbH","2016","25","2016: 5,82 Mio. EUR","Kaufing 31
4690 Schwanenstadt, Oberösterreich",NA,"Kaufing 31, 4690 Schwanenstadt","Kaufing 31","4690 Schwanenstadt","Austria | Österreich","Johann Stögermüller","T +43 / 7673 / 805 10 - 0","E Johann.Stoegermueller@Rheinmetall.com","W www.rheinmetall.com",101,"Waffen & Munition","Kaufing 31, 4690 Schwanenstadt , Österreich",13.8008506,48.0556182,"kaufing 31, 4690 kaufing, austria"
"88","Rohde & Schwarz Österreich GesmbH","#N/A","n.v.","#N/A","#N/A",NA,"Technologiestraße 10 I Gebäude E, 1120 Wien","Technologiestraße 10 I Gebäude E","1120 Wien","Austria | Österreich","Günther Topil","T +43 / 1 / 602 61 41 - 0","E rs-austria@rohde-schwarz.com","W www.rohde-schwarz.com",102,"COMMUNICATION EQUIPMENT, TEST EQUIPMENT, ICT & CYBER,","Technologiestraße 10 I Gebäude E, 1120 Wien , Österreich",16.3337591,48.1687415,"gebäude e, technologiestraße 10, 1120 wien, austria"
"89","RO-RA Aviation Systems GmbH","2016","166",NA,"Gewerbepark 8
4861 Schörfling am Attersee, Oberösterreich",NA,"Gewerbepark 8, 4861 Schörfling am Attersee","Gewerbepark 8","4861 Schörfling am Attersee","Austria | Österreich",NA,"T +43 / 7662 / 57 888","E office@ro-ra.com","W www.ro-ra.com",103,"OTHERS","Gewerbepark 8, 4861 Schörfling am Attersee , Österreich",13.6170784,47.9537215,"gewerbepark 8, 4861 niederham, austria"
"90","Rosenbauer International AG","2016 (Gruppe)","3312","2016 (Gruppe): 870,81 Mio. EUR","Paschinger Str. 90
4060 Leonding, Oberösterreich",NA,"Paschinger Straße 90, 4060 Leonding","Paschinger Straße 90","4060 Leonding","Austria | Österreich",NA,"T +43 / 732 / 67 94 - 0","E office@rosenbauer.com","W www.rosenbauer.com",104,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT, ENGINEERING SERVICES & TRAINING,","Paschinger Straße 90, 4060 Leonding , Österreich",14.2434823,48.2713893,"paschinger str. 90, 4060 leonding, austria"
"91","RUAG Ammotec Austria GmbH","2018","17",NA,"Walter Business Park,Str. 7,Obj. 58D/1
2355 Wiener Neudorf, IZ NÖ-Süd, Niederösterreich",NA,"IZ NÖ-Süd, Straße 7, Objekt 58D, 2355 Wiener Neudorf","IZ NÖ-Süd, Straße 7, Objekt 58D","2355 Wiener Neudorf","Austria | Österreich","Georg Coester","T +43 / 2236 / 677 735 - 0","E info.at.ammotec@ruag.com","W www.ruag-ammotec.com",105,"Waffen & Munition, PERSONAL EQUIPMENT, OPTICAL EQUIPMENT & OPTO-ELECTRONICS,","IZ NÖ-Süd, Straße 7, Objekt 58D, 2355 Wiener Neudorf , Österreich",16.333152,48.067192,"iz nö-süd straße 14 7, 2355 wiener neudorf, austria"
"92","RUAG Space GmbH","2017","241","2017: 47,45 Mio. EUR","Stachegasse 16
1120 Wien",NA,"Stachegasse 16, 1120 Wien","Stachegasse 16","1120 Wien","Austria | Österreich",NA,"T +43 / 1 / 801 99 - 0","E info.at.space@ruag.com","W www.ruag.com/space",106,"OTHERS","Stachegasse 16, 1120 Wien , Österreich",16.311053,48.1622934,"stachegasse 16, 1120 wien, austria"
"93","RUBICON IT GmbH","2016","152",NA,"Werdertorgasse 14
1010 Wien",NA,"Werdertorgasse 14, 1010 Wien","Werdertorgasse 14","1010 Wien","Austria | Österreich",NA,"T +43 / 1 / 533 25 55","E office@rubicon.eu","W www.rubicon.eu",107,"ICT & CYBER","Werdertorgasse 14, 1010 Wien , Österreich",16.3715812,48.2154378,"werdertorgasse 14, 1010 wien, austria"
"94","SAIL LABS Technology","2017","22",NA,"Mariannengasse 14
1090 Wien",NA,"Mariannengasse 14, 1090 Wien","Mariannengasse 14","1090 Wien","Austria | Österreich",NA,"T +43 / 1 / 580 95 - 0","E info4speech@sail-labs.com","W www.sail-labs.com",108,"PERSONAL EQUIPMENT, COMMUNICATION EQUIPMENT, ENGINEERING EQUIPMENT, LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT, ENGINEERING SERVICES & TRAINING, ICT & CYBER,","Mariannengasse 14, 1090 Wien , Österreich",16.3483915,48.2162468,"mariannengasse 14, 1090 wien, austria"
"95","Sattler group","#N/A","n.v.","#N/A","#N/A",NA,"Sattlerstraße 45, 8077 Gössendorf","Sattlerstraße 45","8077 Gössendorf","Austria | Österreich","Erwin Kollegger","T +43 / 316 / 4104 - 0","E mail@sattler-global.com","W www.sattler.com",109,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT, OTHERS","Sattlerstraße 45, 8077 Gössendorf , Österreich",15.4691376,47.0095082,"sattlerstraße 45, 8041 thondorf, austria"
"96","SAWI Electronic GmbH","2016","49",NA,"Reaktorstraße 9
2440 Reisenberg, Niederösterreich",NA,"Reaktorstrasse 9, 2440 Reisenberg","Reaktorstrasse 9","2440 Reisenberg","Austria | Österreich",NA,"T +43 / 2234 / 804 50","E office@sawi.co.at","W www.sawi.co.at",110,"ENGINEERING EQUIPMENT,","Reaktorstrasse 9, 2440 Reisenberg , Österreich",16.5231078,47.994304,"reaktorstraße 9, 2440 reisenberg, austria"
"97","SBA Research gGmbH","#N/A","n.v.","#N/A","#N/A",NA,"Favoritenstrasse 16, 1040 Wien","Favoritenstrasse 16","1040 Wien","Austria | Österreich","Markus Klemen","T +43 / 1 / 505 36 88","E mklemen@sba-research.org","W www.sba-research.org",111,"ICT & CYBER","Favoritenstrasse 16, 1040 Wien , Österreich",16.3696142,48.1946431,"favoritenstraße 16, 1040 wien, austria"
"98","SCE SystemEngineering GmbH","2016","1",NA,"Berchtesgadner Straße 11
5020 Salzburg, Salzburg",NA,"Berchtesgadner Strasse 11, 5020 Salzburg","Berchtesgadner Strasse 11","5020 Salzburg","Austria | Österreich","Margit Scharfetter","T +43 / 664 / 515 51 26","E cirrus@sce.co.at","W www.sce.co.at",112,"ENGINEERING SERVICES & TRAINING, OTHERS","Berchtesgadner Strasse 11, 5020 Salzburg , Österreich",13.0431117,47.7770411,"berchtesgadner str. 11, 5020 salzburg, austria"
"99","Scheibner Business Development GmbH","2015","1",NA,"Kramergasse 9/5
1010 Wien",NA,"Kramergasse 9, 1010 Wien","Kramergasse 9","1010 Wien","Austria | Österreich",NA,"T +43 / 1 / 890 59 32","E office@hsbd.at","W www.hsbd.at",113,"OTHERS","Kramergasse 9, 1010 Wien , Österreich",16.3731778,48.2099984,"kramergasse 9, 1010 wien, austria"
"100","Schiebel Elektronische Geräte GmbH","2016","225","2016: 43,99 Mio. EUR","Margaretenstrasse 112
1050 Wien",NA,"Margaretenstraße 112, 1050 Wien","Margaretenstraße 112","1050 Wien","Austria | Österreich",NA,"T +43 / 1 / 546 26 0","E info@schiebel.net","W www.schiebel.net",114,"VEHICLES & ACCESSORIES, PERSONAL EQUIPMENT, DEMILITARISATION & DEMINING,","Margaretenstraße 112, 1050 Wien , Österreich",16.3540467,48.1888586,"margaretenstraße 112, 1050 wien, austria"
"101","Schoen Aerospace Trading & Consulting GmbH","2016","6",NA,"Consulting GmbH",NA,"Graben 19, 1010 Wien","Graben 19","1010 Wien","Austria | Österreich","Walter Schön","T +43 / 1 / 533 95 39","E office@schoenaerospace.at","W www.schoenaerospace.at",115,"OTHERS","Graben 19, 1010 Wien , Österreich",16.3682343,48.2094433,"graben 19, 1010 wien, austria"
"102","SCHUHFRIED GmbH","2017","63","2016/17: 7,50 Mio. EUR","Hyrtlstr. 45
2340 Mödling, Niederösterreich",NA,"Hyrtlstrasse 45, 2340 Mödling","Hyrtlstrasse 45","2340 Mödling","Austria | Österreich",NA,"T +43 / 2236 / 423 15 - 40","E info@schuhfried.com","W www.schuhfried.com",116,"ENGINEERING SERVICES & TRAINING, OTHERS","Hyrtlstrasse 45, 2340 Mödling , Österreich",16.3071258,48.0860987,"hyrtlstraße 45, 2340 mödling, austria"
"103","SCOTTY Group Austria GmbH","2017","17",NA,"Friedrich Wilhelm Raiffeisen Straße 3
7000 Eisenstadt, Burgenland",NA,"Teslastraße 4, 8074 Raaba-Grambach","Teslastraße 4","8074 Raaba-Grambach","Austria | Österreich","Chris Halverson","T +43 / 316 / 409 426 - 55","E c.halverson@scottygroup.com","W www.scottygroup.com",117,"COMMUNICATION EQUIPMENT,","Teslastraße 4, 8074 Raaba-Grambach , Österreich",15.5004044,47.0186142,"teslastraße 4, 8074 grambach, austria"
"104","SEC Consult Unternehmensberatung GmbH","2016","49",NA,"Komarigasse 14/1
2700 Wiener Neustadt, Niederösterreich",NA,"Mooslackengasse 17, 1190 Wien","Mooslackengasse 17","1190 Wien","Austria | Österreich",NA,"T +43 / 1 / 890 30 41","E office@sec-consult.com","W www.sec-consult.com",118,"ICT & CYBER","Mooslackengasse 17, 1190 Wien , Österreich",16.3651183,48.2499714,"mooslackengasse 17, 1190 wien, austria"
"105","SecureGUARD GmbH","2016","0",NA,"Industriezeile 35
4020 Linz, Oberösterreich",NA,"Industriezeile 35, 4020 Linz","Industriezeile 35","4020 Linz","Austria | Österreich",NA,"T +43 / 732 / 601 440","E office@secureguard.at","W www.secureguard.at",119,"ICT & CYBER","Industriezeile 35, 4020 Linz , Österreich",14.313745,48.31372,"industriezeile 35, 4020 linz, austria"
"106","SIMGUN GmbH",NA,"n.v.",NA,"Ringstraße 32/2
6840 Götzis, Vorarlberg",NA,"Ringstrasse 32/2, 6840 Götzis","Ringstrasse 32/2","6840 Götzis","Austria | Österreich","Patrick Riedesser","T +43 / 5523 / 510 07","E office@simgun.com","W www.simgun.com",120,"Waffen & Munition, PERSONAL EQUIPMENT, ENGINEERING EQUIPMENT, ENGINEERING SERVICES & TRAINING,","Ringstrasse 32/2, 6840 Götzis , Österreich",9.6411335,47.333621,"ringstraße 32, 6840 götzis, austria"
